frame,hand_index,handedness,landmark_index,x,y,z
0,0,Right,0,0.49979835748672485,0.9700735211372375,-1.8029535908681282e-07
0,0,Right,1,0.5204177498817444,0.9462479948997498,-0.01594378799200058
0,0,Right,2,0.5480675101280212,0.9373371005058289,-0.024169396609067917
0,0,Right,3,0.5706592798233032,0.9330143928527832,-0.029896356165409088
0,0,Right,4,0.5876235961914062,0.9240006804466248,-0.034336160868406296
0,0,Right,5,0.5572517514228821,0.999371349811554,-0.015344269573688507
0,0,Right,6,0.5864603519439697,1.0021871328353882,-0.019812675192952156
0,0,Right,7,0.5895939469337463,0.9869326949119568,-0.022111091762781143
0,0,Right,8,0.5841062068939209,0.9765828251838684,-0.02275717258453369
0,0,Right,9,0.5519856214523315,1.0139981508255005,-0.008347712457180023
0,0,Right,10,0.5807275176048279,1.0074336528778076,-0.009891299530863762
0,0,Right,11,0.5807948708534241,0.9892688393592834,-0.009799418970942497
0,0,Right,12,0.5742106437683105,0.9812624454498291,-0.009679432027041912
0,0,Right,13,0.5461642742156982,1.0218499898910522,-0.0023947146255522966
0,0,Right,14,0.572735071182251,1.0128002166748047,-0.0026393092703074217
0,0,Right,15,0.5715486407279968,0.9953307509422302,-0.0011669488158077002
0,0,Right,16,0.5649718046188354,0.9870390295982361,-0.0006018229760229588
0,0,Right,17,0.5410841703414917,1.025733470916748,0.0023395484313368797
0,0,Right,18,0.5636661052703857,1.0178406238555908,0.002282074186950922
0,0,Right,19,0.5646966695785522,1.005515456199646,0.004108114633709192
0,0,Right,20,0.5601059794425964,0.999393105506897,0.005912406370043755
2,0,Right,0,0.49919000267982483,0.9737371206283569,-2.1580986242497602e-07
2,0,Right,1,0.520009458065033,0.949118435382843,-0.014210662804543972
2,0,Right,2,0.5474730730056763,0.9391392469406128,-0.02236727625131607
2,0,Right,3,0.570385754108429,0.9330853819847107,-0.028399750590324402
2,0,Right,4,0.5870360732078552,0.9233173131942749,-0.03315624222159386
2,0,Right,5,0.5570269823074341,1.0008727312088013,-0.016410812735557556
2,0,Right,6,0.5869627594947815,1.0041987895965576,-0.022262008860707283
2,0,Right,7,0.589040219783783,0.9866962432861328,-0.02489597164094448
2,0,Right,8,0.5818092226982117,0.975335955619812,-0.02566312998533249
